MCSID	FACTRY00	FAREGN00	FDRSPO00	FDMINT00	FDPINT00	FDHTYP00	FDHTYS00	FDRELP00	FDNATM00	FDMINH00	FDNATF00	FDFINH00	FDOTHS00	FDNOCM00	FDTOTS00	FDNSIB00	FDHSIB00	FDSSIB00	FDASIB00	FDFSIB00	FDGPAR00	FDOTHA00	FDNUMH00	FDTOTP00	FDHLAN00	FDROOW00	FDCWRK00	FOEDE000	FOEDP000	FOECDUK0	FOECDSC0
M10002P	2	10	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	3	-1	1	466.09	0	4	4
M10007U	2	10	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	1	1	509.59	0	4	4
M10015U	1	9	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	567.63	0	5	5
M10016V	4	12	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	6	1	351.08	0	3	3
M10018X	1	8	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	721.17	0	5	5
M10020R	1	2	4	1	4	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	3	604.55	0	5	5
M10021S	1	1	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	1	5	387.39	0	3	3
M10022T	1	5	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	2	3	156.38	1	1	1
M10029A	1	1	1	1	4	15	2	-1	1	1	4	2	1	1	2	2	1	2	2	2	2	2	2	3	1	6	6	226.22	1	2	2
M10034X	1	5	2	1	1	1	1	2	1	1	1	1	3	1	4	1	1	2	2	2	2	2	5	6	1	2	3	361.52	0	3	3
M10039C	2	10	1	1	4	15	2	-1	1	1	4	2	1	1	2	2	1	2	2	2	2	2	2	3	1	4	6	201.77	1	1	1
M10041W	1	1	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	6	1	297.27	0	2	2
M10042X	2	10	1	1	4	15	2	-1	4	2	4	2	0	1	1	2	2	2	2	2	2	2	1	2	1	6	5	214.72	1	1	1
M10043Y	1	1	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	3	232.03	1	2	2
M10044Z	4	12	4	1	4	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	4	3	228.1	1	2	2
M10046B	1	7	4	1	4	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	3	613.39	0	5	5
M10054B	2	10	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	557.84	0	5	5
M10056D	1	7	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	4	4	6	139.84	1	1	1
M10057E	1	5	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	516.79	0	4	4
M10060Z	1	6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	674.82	0	5	5
M10062B	4	12	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	2	1	348.47	0	3	3
M10063C	1	3	3	1	2	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	2	1	1	335.58	0	3	3
M10064D	1	7	1	1	4	15	2	-1	1	1	4	2	3	1	4	1	2	2	2	1	2	2	4	5	1	5	5	275.74	1	2	2
M10068H	4	12	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	422.62	0	4	4
M10069J	1	7	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	4	5	3	229.8	1	2	2
M10071C	1	9	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	4	5	1	2	1	431.03	0	4	4
M10073E	1	8	2	1	1	2	1	1	1	1	4	2	1	1	2	2	1	2	2	2	2	2	3	4	1	6	3	477.45	0	4	4
M10074F	1	5	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	513.03	0	4	4
M10079L	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	646.74	0	5	5
M10082F	1	5	1	1	4	15	2	-1	1	1	4	2	0	1	1	2	2	2	2	2	2	2	1	2	1	6	5	312.49	0	3	3
M10083G	4	12	4	1	4	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	1	1	421.06	0	4	4
M10088M	1	6	3	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	552.79	0	4	4
M10089N	1	6	2	1	1	2	1	2	1	1	4	2	1	1	2	2	1	2	2	2	2	2	3	4	1	6	4	410.69	0	3	3
M10091G	1	9	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	596.89	0	5	5
M10095L	2	10	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	4	2	1	513.98	0	4	4
M10096M	3	11	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	10	1	576.46	0	5	4
M10100Q	3	11	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	2	2	440.3	0	4	3
M10105V	1	8	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	736.24	0	5	5
M10106W	1	9	2	1	1	5	1	2	3	3	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	4	1	321.37	0	3	3
M10107X	1	8	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	1	1	709.96	0	5	5
M10109Z	1	8	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	6	2	464.75	0	4	4
