MCSID	FPNUM00	FELIG00	FRESP00	FPVERSC0	FPLSCSC0	FPLMNSC0	FPLMBDC0	FPSESSC0	FPZ1CON0	FPVTCON0	FPVTSUR0	FPMCOG0A	FPMCOG0B	FPMCOG0C	FPMCOG0D	FPMCOG0E	FPMCOG0F	FPMCOG0G	FPMCOG0H	FPMCOG0I	FPMCOG0J	FPMCOG0K	FPMCOG0L	FPMCOG0M	FPMCOG0N	FPMCOG0O	FPMCOG0P	FPMCOG0Q	FPMCOG0R	FPMCOG0S	FPMCOG0T	FPPCOG0A	FPPCOG0B	FPPCOG0C	FPPCOG0D	FPPCOG0E	FPPCOG0F	FPPCOG0G	FPPCOG0H	FPPCOG0I	FPPCOG0J	FPPCOG0K	FPPCOG0L	FPPCOG0M	FPPCOG0N	FPPCOG0O	FPPCOG0P	FPPCOG0Q	FPPCOG0R	FPPCOG0S	FPPCOG0T	FPVTDO00	FPVTPDCK	FPVTWHOA	FPVTWHOB	FPVTWHOC	FPVTWHOD	FPVTWHOE	FPVTWHOF	FPVTIMP0	FPVTWH0A	FPVTWH0B	FPVTWH0C	FPVTWH0D	FPVTWH0E	FPVTWH0F	FPVTWH0G	FPVTWH0H	FPVTWH0I	FPVTWH0J	FPVTWH0K	FPVTWH0L	FPVTWH0M	FPVTWH0N	FPVTWH0O	FPVTWH0P	FPVTWH0Q	FPVTWH0R	FPVTWH0S	FPVTWH0T	FPWRDSCM	FPWRDSCP
M10002P	1	1	1	101	356	6	7	1	1	1	-1	1	5	5	1	1	4	4	3	2	1	2	3	2	4	5	4	1	3	5	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1
M10002P	2	2	2	101	329	5	7	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	3	3	5	5	4	4	5	2	3	4	2	4	2	2	4	3	5	4	4	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17
M10007U	1	1	1	102	345	6	7	1	1	1	-1	1	5	5	1	1	4	4	3	2	1	2	3	2	4	2	2	1	5	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1
M10015U	1	1	1	102	497	8	10	1	1	1	-1	1	5	5	1	1	4	4	3	2	1	2	3	2	4	2	4	1	3	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1
M10015U	2	2	2	102	762	13	14	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	3	3	5	5	4	4	5	2	3	5	2	4	3	2	4	3	4	2	3	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18
M10016V	1	1	1	102	359	6	7	1	1	1	-1	1	5	5	1	1	4	4	3	2	3	2	3	2	3	4	5	5	1	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	1	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1
M10016V	2	2	2	102	293	5	6	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2	3	5	5	4	4	5	2	3	4	4	2	3	4	1	1	3	1	4	1	-1	0	1	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12
M10018X	1	1	1	102	385	6	8	1	1	1	-1	1	5	5	1	1	4	4	3	2	1	2	1	2	4	4	4	1	5	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1
M10018X	2	2	2	102	304	5	7	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	3	3	5	5	4	4	3	2	3	4	2	4	3	2	4	3	3	2	2	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17
M10020R	1	1	1	102	437	7	9	1	1	1	-1	1	5	5	1	1	4	4	3	2	1	2	1	2	4	2	4	4	5	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1
M10021S	1	1	1	101	332	6	7	1	1	1	-1	1	5	5	1	1	4	4	3	2	1	2	1	2	4	2	4	1	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1
M10022T	1	1	1	102	295	5	6	1	1	1	-1	5	1	1	1	1	1	5	1	1	5	2	1	2	2	1	1	5	1	5	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	1	1	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1
M10022T	2	2	2	102	305	5	7	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	5	5	6	4	5	6	3	3	5	2	6	6	6	6	6	6	6	6	2	1	-1	0	1	1	1	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
M10029A	1	1	1	102	327	5	7	1	1	1	-1	4	5	5	4	1	3	4	1	4	2	2	3	5	4	2	3	5	2	5	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	1	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1
M10034X	1	1	1	103	294	5	6	1	1	1	-1	1	5	5	1	1	4	4	3	2	1	2	1	2	2	2	4	1	3	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	1	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1
M10034X	2	2	2	103	320	5	7	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	3	3	5	5	4	4	5	2	3	4	2	1	3	5	1	4	3	1	6	1	-1	0	1	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13
M10039C	1	1	1	103	297	5	6	1	1	1	-1	1	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	1	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1
M10041W	1	1	1	102	368	6	8	1	1	1	-1	1	5	3	3	3	4	4	3	2	2	1	3	5	2	5	4	3	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	1	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1
M10042X	1	1	1	102	453	8	9	1	1	1	-1	1	5	5	5	3	4	4	3	5	4	1	1	5	2	4	2	3	4	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	1	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1
M10043Y	1	1	1	103	298	5	6	1	1	1	-1	1	5	5	6	3	4	4	5	2	1	6	3	4	5	1	2	2	3	5	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1
M10043Y	2	2	2	103	278	5	6	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	3	3	5	5	4	4	5	2	3	4	2	4	2	2	3	5	4	1	3	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15
M10044Z	1	1	1	103	386	6	8	1	1	1	-1	1	5	3	4	1	3	1	5	4	2	4	1	2	3	6	3	1	5	5	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1
M10046B	1	1	1	101	336	6	7	1	1	1	-1	5	5	5	2	1	3	4	3	1	2	4	3	6	6	6	2	2	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	0	0	0	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1
