MCSID	FACTRY00	FIMDSCOE	FIMDINCE	FIMDEMPE	FIMDHDDE	FIMDHOSE	FIMDESTE	FIMDCRIE	FIMDLEDE	FIERURUR
M10015U	1	8	9	10	10	1	9	6	4	6
M10018X	1	8	8	9	7	3	9	5	7	4
M10020R	1	9	9	8	9	9	10	2	7	4
M10021S	1	6	6	4	6	1	10	10	7	6
M10022T	1	1	1	2	2	2	1	2	1	4
M10029A	1	3	3	2	2	9	2	4	4	4
M10034X	1	6	6	7	6	7	10	1	4	4
M10041W	1	1	1	1	1	8	1	5	2	4
M10043Y	1	2	2	2	2	9	1	4	7	4
M10046B	1	9	7	9	10	5	10	5	8	4
M10056D	1	5	4	5	5	6	9	4	1	4
M10057E	1	10	10	9	8	9	9	8	8	4
M10060Z	1	5	5	4	4	10	4	2	4	4
M10063C	1	1	1	2	2	7	1	3	1	4
M10064D	1	2	2	3	3	2	5	1	1	4
M10069J	1	4	3	5	6	1	7	6	5	4
M10071C	1	5	4	4	7	2	7	10	9	5
M10073E	1	8	9	10	10	1	9	10	5	6
M10074F	1	9	9	8	9	2	9	9	9	6
M10082F	1	6	6	6	6	9	5	4	9	4
M10088M	1	10	10	10	10	2	10	8	9	4
M10089N	1	2	1	4	3	3	1	1	9	4
M10091G	1	9	7	8	9	10	10	7	7	5
M10105V	1	9	9	8	10	5	7	7	9	4
M10106W	1	3	3	3	3	6	2	3	3	4
M10107X	1	10	10	10	10	10	10	7	10	4
M10109Z	1	4	5	5	4	2	8	7	1	4
M10114W	1	8	8	9	9	1	8	10	6	6
M10115X	1	10	10	10	10	3	10	10	10	4
M10116Y	1	9	10	7	6	6	9	10	9	4
M10122W	1	1	1	2	2	3	1	4	1	4
M10125Z	1	4	6	3	3	1	7	9	4	6
M10127B	1	8	8	9	9	7	5	5	8	4
M10128C	1	3	4	2	2	3	2	5	9	5
M10130W	1	10	9	10	10	4	9	6	8	4
M10131X	1	2	2	2	1	7	2	6	5	4
M10132Y	1	4	5	4	5	2	8	1	2	4
M10136C	1	3	3	2	2	10	4	2	7	4
M10137D	1	1	1	1	1	8	1	2	3	4
M10139F	1	4	3	3	4	5	3	9	10	4
M10144C	1	3	4	6	5	3	2	1	5	4
M10149H	1	4	3	7	5	1	2	7	10	4
M10161D	1	8	8	5	6	6	7	7	10	4
M10164G	1	5	6	5	5	3	4	8	2	4
M10168L	1	7	7	5	4	9	9	7	9	5
M10172G	1	8	9	6	5	7	7	9	10	4
M10173H	1	7	7	7	9	2	8	6	6	6
M10174J	1	10	9	9	9	6	9	9	6	5
M10177M	1	10	10	10	10	8	9	8	10	4
M10180G	1	3	4	2	3	7	4	7	2	4
M10181H	1	7	6	8	9	2	7	10	7	6
M10185M	1	6	5	6	7	8	6	5	4	4
M10189R	1	1	1	2	1	8	1	5	1	4
M10194N	1	9	8	9	9	6	9	6	5	4
M10197R	1	1	1	2	2	4	1	2	3	4
M10210V	1	6	6	5	5	7	3	6	9	4
M10211W	1	7	8	10	10	2	8	2	7	4
M10213Y	1	3	3	4	5	9	1	2	7	4
M10215A	1	10	10	10	10	6	5	9	9	4
M10217C	1	4	5	3	4	5	3	4	8	5
M10225C	1	8	7	7	7	8	6	9	7	4
M10226D	1	3	2	4	3	5	3	6	2	4
M10227E	1	10	8	10	7	8	9	8	10	4
M10229G	1	2	2	2	2	3	4	3	1	4
M10231A	1	5	5	4	4	5	6	9	7	5
M10234D	1	5	4	5	7	2	7	8	5	4
M10237G	1	7	8	8	7	2	9	5	5	4
M10238H	1	2	3	3	2	8	2	4	1	4
M10239J	1	6	6	7	8	1	7	10	3	6
M10247J	1	5	3	6	7	8	3	5	6	4
M10249L	1	1	1	1	1	1	3	2	2	4
M10255J	1	7	6	7	6	5	5	8	7	5
M10262H	1	8	9	9	9	3	9	7	3	5
M10263J	1	3	3	3	2	9	2	3	6	4
M10266M	1	10	10	10	10	6	9	10	10	5
M10270H	1	2	1	3	2	7	1	1	7	4
M10273L	1	8	9	7	8	9	5	5	8	4
M10278R	1	3	3	4	4	2	5	2	2	4
M10279S	1	8	8	9	7	7	10	2	8	4
M10282M	1	2	2	1	1	10	1	3	6	4
M10289U	1	2	2	3	2	10	1	6	3	4
M10296T	1	3	3	4	4	8	3	2	1	4
M10298V	1	5	6	5	4	5	4	4	3	4
M10300W	1	2	2	2	3	7	2	3	2	4
M10314C	1	5	4	6	6	4	4	7	7	4
M10315D	1	8	8	7	8	5	6	9	10	4
M10316E	1	4	4	4	4	10	2	6	2	4
M10318G	1	1	1	1	1	10	2	3	1	4
M10319H	1	10	10	10	10	4	10	5	9	4
M10320A	1	10	9	9	9	6	10	10	7	6
M10322C	1	10	9	10	10	6	10	7	9	4
M10328J	1	9	8	8	9	7	6	10	10	4
M10330C	1	9	8	10	10	2	10	4	10	4
M10331D	1	5	5	6	5	2	4	5	9	4
M10342G	1	10	10	9	10	7	5	10	9	4
M10346L	1	9	8	7	8	10	7	5	9	4
M10348N	1	5	4	5	5	3	3	7	9	4
M10350G	1	7	7	6	7	5	10	5	5	4
M10351H	1	10	9	9	10	4	9	9	8	5
M10355M	1	1	1	1	1	8	1	1	1	4
M10357P	1	2	2	3	4	5	2	4	1	4
M10359R	1	3	3	3	4	10	3	4	3	5
M10363M	1	9	7	8	9	10	10	7	7	5
M10364N	1	3	3	4	2	10	3	2	2	4
M10367R	1	10	8	9	10	8	8	8	10	5
M10372N	1	3	3	4	3	2	5	3	2	4
M10373P	1	4	5	6	5	1	5	10	2	3
M10374Q	1	4	4	4	5	8	3	5	7	4
M10377T	1	4	5	3	2	6	4	5	3	4
M10390Q	1	7	7	5	6	10	4	8	9	4
M10392S	1	9	8	8	9	7	7	8	6	4
M10393T	1	1	1	1	1	6	1	5	3	4
M10400Z	1	2	3	1	2	10	2	5	3	4
M10404D	1	5	4	7	7	8	3	8	4	4
M10405E	1	10	9	8	9	10	9	8	8	5
M10406F	1	10	9	10	10	3	8	10	9	4
M10407G	1	5	5	3	4	7	8	4	8	4
M10411C	1	5	5	7	6	2	8	3	3	4
M10418K	1	10	9	10	10	8	10	10	10	4
M10419L	1	4	3	2	2	7	3	8	10	4
M10421E	1	6	8	7	7	1	9	9	7	5
M10423G	1	1	1	1	1	8	1	2	5	4
M10426K	1	1	1	1	1	2	1	4	2	4
M10427L	1	7	9	10	10	1	9	8	3	6
