MCSID	FACTRY00	FIMDSCON	FIMDINCN	FIMDEMPN	FIMDHDDN	FIMDESTN	FIMDCRIN	FIMDLEDN	FINRURUR
M10016V	4	7	9	10	8	6	10	4	1
M10044Z	4	3	3	3	3	1	4	3	2
M10062B	4	5	5	7	7	5	10	4	1
M10068H	4	9	10	10	8	8	9	7	2
M10083G	4	6	6	7	4	7	8	6	1
M10113V	4	4	4	4	6	4	5	5	2
M10134A	4	9	9	10	5	9	6	10	2
M10146E	4	7	6	4	7	8	8	6	2
M10153D	4	4	3	4	9	4	10	6	1
M10171F	4	2	1	2	2	2	4	4	2
M10195P	4	3	4	3	5	3	7	1	1
M10246H	4	2	3	2	1	2	8	4	2
M10313B	4	1	2	2	1	1	1	3	2
M10349P	4	7	7	8	6	5	5	6	2
M10379V	4	5	3	4	5	6	1	8	2
M10436M	4	4	5	6	5	3	5	5	1
M10484V	4	5	4	5	6	4	2	9	2
M10492V	4	1	2	2	1	1	1	3	2
M10537R	4	1	1	1	1	1	1	1	2
M10541M	4	8	9	10	8	8	3	6	1
M10567X	4	5	4	5	6	4	7	5	1
M10603J	4	2	2	2	3	2	4	1	1
M10614M	4	6	6	5	3	6	8	7	2
M10617Q	4	4	4	5	7	4	7	5	1
M10620K	4	10	10	10	10	10	5	9	1
M10622M	4	3	2	4	6	3	6	6	2
M10639W	4	1	1	1	1	1	1	2	2
M10672X	4	7	7	7	6	8	7	9	1
M10675A	4	6	6	7	4	7	8	6	1
M10688F	4	3	3	4	10	2	9	3	1
M10728W	4	6	7	6	9	4	10	3	1
M10752W	4	2	2	1	2	3	3	1	2
M10762Y	4	2	3	3	4	2	8	2	1
M10781B	4	10	10	10	10	9	7	10	1
M10801N	4	4	5	5	6	4	9	4	1
M10809W	4	1	2	2	2	1	5	2	2
M10816V	4	3	5	3	5	2	7	4	1
M10819Y	4	8	8	9	10	7	9	6	1
M10843Y	4	10	10	9	8	10	8	10	1
M10882F	4	4	4	5	2	9	1	3	2
M10914W	4	1	1	1	1	1	1	1	2
M10958J	4	1	1	1	1	1	1	1	2
M10998S	4	9	10	10	8	8	9	7	2
M11006X	4	6	5	5	8	6	5	6	1
M11019C	4	3	4	3	6	3	7	1	1
M11077N	4	3	3	4	3	4	7	3	1
M11091L	4	5	6	6	6	8	4	5	1
M11167P	4	9	9	9	8	8	10	8	2
M11197V	4	9	10	10	8	8	9	7	2
M11220B	4	5	6	5	1	9	2	5	2
M11247N	4	4	3	4	9	4	10	6	1
M11293U	4	1	1	1	1	2	1	2	2
M11295W	4	4	4	5	7	4	7	5	1
M11335M	4	8	8	6	5	10	7	9	2
M11345P	4	5	3	3	4	7	5	8	2
M11356S	4	2	2	3	4	1	2	2	2
M11370Q	4	3	2	3	3	3	3	4	1
M11386Y	4	9	8	8	6	10	8	7	2
M11395Z	4	6	7	5	8	7	9	7	1
M11403G	4	1	1	1	1	2	4	1	2
M11422K	4	6	6	6	7	5	5	3	2
M11428R	4	3	4	3	2	4	2	4	2
M11466X	4	9	9	10	8	9	8	9	2
M11486B	4	4	4	5	8	4	9	4	1
M11505M	4	10	10	10	10	10	3	10	2
M11747D	4	9	9	8	10	9	7	10	2
M11753B	4	5	5	4	2	6	3	4	2
M11763D	4	10	9	9	10	9	7	10	2
M11774G	4	6	5	6	6	8	1	8	2
M11789P	4	3	2	4	6	3	6	6	2
M11805W	4	10	10	9	8	10	8	10	1
M11816Z	4	3	5	3	2	2	6	6	2
M11845E	4	6	6	5	6	5	9	4	1
M11889S	4	8	8	8	9	7	10	9	1
M11949M	4	2	2	2	3	2	6	4	2
M11983P	4	5	5	4	7	3	5	6	2
M11994S	4	3	3	4	4	4	3	2	2
M12039L	4	2	1	2	2	2	4	4	2
M12099Y	4	4	3	5	9	3	3	7	2
M12163P	4	1	1	1	1	2	4	2	2
M12165R	4	2	3	2	1	2	8	4	2
M12166S	4	10	9	9	9	9	5	9	2
M12178W	4	7	7	8	8	7	5	5	1
M12199B	4	4	5	4	7	3	9	4	1
M12223J	4	7	8	6	4	6	9	10	1
M12234M	4	5	6	6	6	8	4	5	1
M12240K	4	8	9	9	8	7	8	5	1
M12271S	4	5	4	5	8	6	10	4	1
M12272T	4	9	9	8	10	9	7	10	2
M12293Y	4	1	1	1	2	1	9	2	2
M12386C	4	6	6	7	4	7	8	6	1
M12402K	4	9	9	10	5	8	3	6	2
M12461W	4	5	7	6	4	5	10	4	1
M12464Z	4	3	3	3	4	3	9	5	1
M12480Z	4	10	10	9	8	10	8	10	1
M12547B	4	10	9	9	10	10	5	10	2
M12567F	4	9	10	10	8	8	9	7	2
M12584G	4	9	8	8	8	8	9	6	1
M12608X	4	3	3	4	10	2	9	3	1
M12612T	4	10	10	10	9	10	6	10	2
M12653C	4	4	3	3	4	6	10	6	1
M12657G	4	10	10	10	6	9	9	10	2
M12679N	4	2	2	2	2	3	1	2	2
M12707Z	4	4	3	3	4	6	10	6	1
M12720W	4	1	1	2	1	1	6	1	2
M12731Z	4	1	1	1	1	1	1	1	2
M12732A	4	9	10	9	8	9	9	8	2
M12750C	4	7	7	6	3	7	4	7	2
M12756J	4	6	6	6	7	5	5	3	2
M12762G	4	10	10	9	9	8	7	9	2
M12769P	4	4	5	6	5	3	5	5	1
M12778Q	4	7	7	7	8	7	7	8	1
M12817E	4	2	1	3	1	2	2	1	2
M12886T	4	5	7	5	4	7	9	4	1
M12914E	4	1	2	1	2	2	3	3	2
M12916G	4	6	6	5	5	5	8	8	2
M12919K	4	1	1	1	2	3	6	2	2
M12928L	4	2	2	4	5	4	10	1	1
M12962N	4	10	10	10	7	10	8	10	2
M13005E	4	2	2	4	5	4	10	1	1
M13017J	4	3	3	4	5	3	5	5	1
M13019L	4	6	7	6	9	4	10	3	1
M13021E	4	5	4	5	4	5	2	7	2
M13032H	4	6	7	6	10	4	10	5	1
M13126N	4	9	8	9	10	6	6	5	2
M13144Q	4	10	10	9	8	10	8	10	1
M13179B	4	7	7	7	8	7	7	8	1
M13195B	4	4	5	4	7	3	9	4	1
M13240P	4	9	8	8	6	10	8	7	2
M13252T	4	8	8	9	10	7	9	6	1
M13284B	4	3	3	4	4	4	3	2	2
M13289G	4	3	3	4	2	3	3	7	2
M13296F	4	5	6	5	4	3	6	3	2
M13298H	4	10	10	10	10	9	7	10	1
M13305P	4	3	3	4	10	2	9	3	1
M13324S	4	2	3	3	4	2	8	2	1
M13329X	4	8	8	9	10	7	9	6	1
M13336W	4	8	7	7	10	7	10	6	1
M13340S	4	5	6	6	6	8	4	5	1
M13344W	4	2	1	2	2	2	4	4	2
M13350U	4	9	10	10	4	10	3	3	2
M13353X	4	10	9	9	10	10	5	10	2
M13388J	4	3	3	4	5	3	5	5	1
M13395H	4	3	3	2	4	2	5	4	2
M13422T	4	2	2	2	2	2	4	2	2
M13441W	4	5	7	5	4	7	9	4	1
M13451Y	4	4	3	3	2	5	4	7	2
M13452Z	4	9	8	8	9	8	5	9	2
M13466F	4	2	2	1	1	3	4	2	2
M13474F	4	1	1	2	5	2	2	2	2
M13533Z	4	8	8	9	10	7	9	6	1
M13561D	4	3	4	3	6	3	7	1	1
M13598S	4	2	2	4	5	4	10	1	1
M13615A	4	1	2	2	1	1	1	3	2
M13644F	4	6	8	6	5	8	3	4	2
M13645G	4	7	7	7	8	7	7	8	1
M13649L	4	5	6	6	3	5	5	1	2
M13653G	4	8	8	9	10	7	9	6	1
M13690M	4	9	9	10	8	9	9	9	2
M13732E	4	6	5	6	6	8	1	8	2
M13738L	4	10	10	10	10	10	10	10	2
M13769T	4	1	2	2	1	1	1	2	2
M13780N	4	5	6	6	1	9	1	3	2
M13781P	4	6	6	7	4	7	8	6	1
M13816H	4	10	9	10	10	10	7	10	2
M13823G	4	3	3	2	4	2	5	4	2
M13844M	4	4	4	3	6	3	8	4	1
M13858T	4	3	4	4	2	2	1	6	2
M13944Q	4	1	2	2	2	1	5	2	2
M13987B	4	10	10	9	10	9	9	10	2
M13988C	4	1	1	1	1	1	1	1	2
M14026P	4	2	1	1	2	2	4	2	2
M14052R	4	5	4	6	7	5	5	5	1
M14073W	4	9	10	10	8	8	9	7	2
M14083Y	4	5	6	6	9	3	7	2	1
M14198J	4	5	4	6	7	5	5	5	1
M14199K	4	9	8	8	6	10	8	7	2
M14238Z	4	3	2	4	5	3	5	3	1
M14242V	4	1	2	2	2	1	5	2	2
M14244X	4	5	7	5	4	7	9	4	1
M14247A	4	6	7	7	10	5	10	5	1
M14271A	4	6	6	6	5	7	10	6	1
M14278H	4	9	10	9	8	9	9	8	2
M14286H	4	5	4	6	7	5	5	5	1
M14301P	4	9	10	10	10	10	8	8	1
M14302Q	4	5	5	7	7	5	10	4	1
M14318Y	4	8	9	8	3	9	2	9	2
M14334Y	4	6	5	6	6	8	1	8	2
M14336A	4	2	2	3	4	1	2	2	2
M14440Z	4	10	10	10	8	10	3	9	2
M14444D	4	1	1	1	1	2	4	2	2
M14451C	4	6	6	5	6	5	9	4	1
M14455G	4	2	2	2	2	2	4	2	2
M14490K	4	3	3	4	10	2	9	3	1
M14499U	4	2	2	3	4	1	2	2	2
M14511X	4	7	7	7	8	7	7	8	1
M14535F	4	9	8	7	6	8	5	10	2
M14551F	4	1	1	1	1	1	3	1	2
M14568Q	4	9	9	9	8	9	6	10	1
M14569R	4	7	5	7	8	5	8	8	2
M14587T	4	10	9	9	9	5	9	8	2
M14623E	4	7	7	7	4	5	4	5	2
M14635J	4	3	4	3	5	3	7	1	1
M14639N	4	4	3	4	9	4	10	6	1
M14648P	4	9	8	8	6	10	8	7	2
M14670M	4	7	7	7	8	7	10	8	1
M14683S	4	9	8	8	6	10	8	7	2
M14686V	4	2	2	3	4	1	2	2	2
M14703D	4	2	2	2	2	2	4	2	2
M14712E	4	10	10	10	9	10	9	10	2
M14728N	4	1	2	2	1	1	1	2	2
M14797B	4	8	8	6	5	10	7	9	2
M14823L	4	4	4	5	7	4	7	5	1
M14833N	4	9	8	8	6	10	8	7	2
M14842P	4	4	4	5	2	9	1	3	2
M14899G	4	6	7	7	4	9	1	4	2
M14917R	4	5	4	6	7	5	5	5	1
M14970W	4	9	9	9	7	9	7	8	1
M14990A	4	7	7	7	8	7	7	10	1
M15000H	4	4	3	5	9	3	3	7	2
M15071Y	4	2	1	2	2	2	4	4	2
M15137Z	4	4	5	5	6	4	9	4	1
M15184G	4	5	6	4	5	8	2	7	2
M15188L	4	6	5	6	6	8	1	8	2
M15201Q	4	9	8	8	6	10	8	7	2
M15224X	4	9	9	9	7	9	5	10	1
M15237C	4	4	4	4	2	8	1	5	2
M15262D	4	5	4	6	7	4	10	3	1
M15317B	4	10	10	9	8	10	8	10	1
M15395R	4	1	1	2	1	1	6	1	2
M15424D	4	9	10	9	8	9	9	8	2
