MCSID	FACTRY00	FISIMDSC	FISIMDIN	FISIMDEM	FISIMDHD	FISIMDES	FISIMDHO	FISIMDMG	FISRURUR
M10079L	3	10	10	10	10	10	10	9	1
M10096M	3	6	5	5	6	6	5	9	4
M10100Q	3	8	7	7	7	8	8	10	6
M10126A	3	10	10	9	10	8	10	5	2
M10154E	3	10	10	10	10	10	9	9	1
M10176L	3	10	10	10	10	10	10	1	2
M10193M	3	7	7	7	6	7	9	6	2
M10205Y	3	5	8	6	3	6	7	1	6
M10224B	3	10	10	9	9	8	10	4	2
M10252F	3	10	10	9	10	10	10	2	1
M10254H	3	8	9	8	9	6	6	3	2
M10256K	3	1	1	1	1	2	3	10	2
M10258M	3	4	4	5	6	3	5	3	4
M10264K	3	9	10	8	8	8	9	4	1
M10324E	3	3	3	4	3	2	7	4	3
M10335H	3	9	9	10	9	8	8	2	5
M10366Q	3	6	8	7	7	5	4	1	6
M10385T	3	10	10	9	9	7	10	5	2
M10394U	3	10	10	10	10	10	10	6	1
M10395V	3	1	1	2	2	1	1	6	1
M10397X	3	10	10	10	9	10	10	4	3
M10401A	3	7	7	6	5	6	8	7	2
M10466T	3	8	7	9	8	6	4	10	1
M10529R	3	7	7	7	8	8	8	2	5
M10571T	3	6	9	5	8	9	8	1	5
M10587B	3	1	1	1	1	4	3	8	2
M10612K	3	9	10	9	10	10	9	2	1
M10658Z	3	8	8	8	9	10	9	1	5
M10679E	3	5	5	4	3	6	7	3	1
M10722Q	3	10	10	10	9	10	10	4	3
M10733T	3	10	10	10	10	9	10	6	5
M10740S	3	10	10	10	10	10	9	9	1
M10741T	3	10	9	10	10	10	10	6	2
M10770Y	3	4	3	4	8	8	5	2	6
M10815U	3	9	10	9	9	9	9	2	2
M10840V	3	5	6	4	7	9	6	1	6
M10850X	3	10	10	9	8	10	10	8	2
M10852Z	3	8	8	9	10	9	8	1	6
M10863C	3	1	2	1	1	2	1	6	1
M10879L	3	3	3	3	2	4	6	10	6
M10923X	3	5	6	5	6	6	4	1	5
M10953D	3	7	6	7	8	7	7	4	3
M11011U	3	10	10	10	10	10	10	2	5
M11021W	3	4	4	4	2	5	2	10	2
M11066K	3	4	4	3	4	4	2	4	1
M11084M	3	2	2	2	5	2	5	5	6
M11108C	3	6	5	5	8	6	7	4	6
M11143F	3	5	7	5	7	5	7	2	2
M11148L	3	10	10	9	10	10	10	2	1
M11171K	3	4	3	3	5	4	4	9	1
M11212B	3	10	8	10	10	10	9	5	2
M11217G	3	9	9	9	10	9	10	1	3
M11239N	3	4	4	4	2	3	3	6	1
M11297Y	3	10	10	10	10	10	10	8	1
M11307H	3	7	7	7	6	7	9	6	2
M11354Q	3	7	6	8	9	7	6	3	5
M11358U	3	4	5	5	4	6	5	1	6
M11396A	3	8	9	9	9	5	10	3	2
M11433N	3	2	2	3	1	1	3	4	2
M11485A	3	6	7	6	8	7	7	1	6
M11494B	3	10	10	10	10	10	9	9	1
M11525R	3	9	10	8	8	7	8	3	1
M11530N	3	9	9	9	9	6	10	5	2
M11540Q	3	6	7	6	6	7	8	1	5
M11606R	3	6	7	6	5	7	8	2	6
M11636X	3	5	4	5	5	3	7	5	4
M11637Y	3	10	10	10	10	10	9	2	5
M11650V	3	3	3	3	2	3	4	6	2
M11668F	3	9	10	9	9	6	10	3	1
M11694H	3	8	7	7	7	8	9	7	2
M11698M	3	4	7	5	2	1	4	6	1
M11707V	3	1	2	2	2	1	2	7	1
M11719Z	3	1	1	1	1	1	1	6	1
M11720S	3	5	5	4	5	5	7	2	2
M11745B	3	6	6	4	6	8	8	4	1
M11826B	3	1	1	1	2	2	2	5	2
M11846F	3	6	5	6	6	5	7	9	4
M11870F	3	9	10	8	8	8	10	3	2
M11874K	3	3	3	3	2	3	5	8	3
M11890K	3	9	9	10	10	10	9	2	5
M11893N	3	5	5	4	5	5	7	2	2
M11905Z	3	9	10	10	9	9	10	1	5
M11931B	3	3	3	3	5	2	2	10	1
M11942E	3	7	7	6	7	8	9	3	3
M11988U	3	10	10	10	10	10	9	9	1
