MCSID	FACTRY00	FIWIMDSC	FIWIMDIN	FIWIMDEM	FIWIMDHD	FIWIMDES	FIWIMDHO	FIWIMDCR	FIWIMDLE	FIWRURUR
M10002P	2	9	8	6	5	8	9	9	10	4
M10007U	2	7	6	6	4	5	7	5	9	4
M10039C	2	2	1	2	1	2	9	6	7	4
M10042X	2	2	2	2	4	2	4	4	6	5
M10054B	2	10	9	9	10	9	7	9	7	4
M10095L	2	6	7	6	3	8	3	9	8	5
M10120U	2	7	6	5	8	6	7	8	5	4
M10143B	2	2	2	2	3	4	9	5	2	4
M10157H	2	10	9	10	8	10	9	8	8	4
M10175K	2	9	6	6	9	9	9	9	10	4
M10191K	2	1	1	2	2	1	9	1	5	4
M10200T	2	8	6	9	8	6	7	6	5	4
M10206Z	2	1	1	2	6	1	9	5	9	4
M10220X	2	8	7	7	9	7	5	6	3	5
M10223A	2	1	1	1	2	1	9	5	10	4
M10244F	2	4	4	3	5	3	9	2	4	4
M10250D	2	3	3	3	3	2	9	9	2	4
M10261G	2	4	4	6	3	2	7	3	4	5
M10274M	2	8	10	9	3	10	2	10	6	5
M10356N	2	1	1	2	4	1	9	1	2	4
M10362L	2	3	2	3	1	4	7	5	7	4
M10375R	2	7	7	6	9	6	7	1	5	4
M10387V	2	2	3	2	1	5	7	2	1	4
M10396W	2	3	3	2	2	5	4	4	10	5
M10432H	2	2	1	3	5	2	3	2	7	4
M10465S	2	10	8	9	10	9	9	6	9	4
M10485W	2	6	5	4	6	4	9	6	3	4
M10503F	2	3	2	3	4	2	9	2	6	4
M10505H	2	2	2	1	6	3	5	2	4	4
M10507K	2	7	7	8	6	9	2	3	8	6
M10543P	2	2	2	2	1	2	8	8	8	4
M10548U	2	5	6	6	1	8	9	7	2	4
M10561R	2	6	9	8	4	6	2	6	1	6
M10613L	2	4	2	3	4	4	9	3	5	4
M10632P	2	3	2	4	3	2	9	5	3	4
M10640P	2	7	8	5	4	6	9	7	4	4
M10655W	2	2	2	3	2	1	8	9	7	4
M10699J	2	8	7	9	6	4	9	7	2	4
M10711M	2	2	2	2	3	3	5	2	6	4
M10743V	2	6	5	5	3	8	4	9	9	4
M10750U	2	8	7	9	10	5	4	7	2	4
M10751V	2	1	1	1	1	1	5	1	2	4
M10772A	2	3	3	4	3	5	5	1	10	5
M10845A	2	9	9	8	9	8	3	6	8	4
M10860Z	2	2	2	2	4	2	4	2	10	1
M10873E	2	2	1	1	7	5	3	1	2	2
M10889N	2	6	9	6	5	10	2	6	1	4
M10907X	2	5	4	4	7	4	7	6	2	4
M10917Z	2	2	2	2	4	3	6	5	5	5
M10935B	2	6	5	5	8	8	1	2	9	3
M10963F	2	10	10	10	10	10	3	8	5	4
M10974J	2	2	2	4	5	2	3	4	2	4
M10975K	2	7	6	6	10	8	3	4	5	2
M10991K	2	6	5	4	5	6	9	6	4	4
M11008Z	2	9	9	9	9	8	4	7	8	5
M11027C	2	3	3	3	6	2	4	7	8	4
M11044D	2	3	2	3	4	2	9	2	6	4
M11059L	2	7	7	8	9	7	2	3	9	6
M11068M	2	9	9	8	9	8	3	6	8	4
M11083L	2	10	9	9	8	9	7	8	9	6
M11088R	2	3	3	3	8	2	5	7	3	4
