MCSID	GCNUM00	GCCHIC100	GCNAEX00	GCNAEG1	GCNAEG2	GCNAEG3	GCNAAS0A	GCNAAS0B	GCNAAS0C	GCNAAS0D	GCNAAS0E	GCNAAS0F	GCNAAS0G	GCNAAS0H	GCNAAS0I	GCNAAS0J
M10002P	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	2
M10007U	1	1	5	2	1	4	5	1	3	4	1	5	4	4	6	6
M10015U	1	1	5	2	1	4	5	1	3	4	1	5	2	4	2	3
M10016V	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10018X	1	1	5	2	1	4	5	2	3	3	1	5	4	4	3	4
M10021S	1	1	5	2	1	4	5	1	3	4	1	6	4	4	4	5
M10022T	1	1	6	6	6	2	5	1	1	3	5	4	1	3	5	3
M10025W	1	1	5	2	1	4	5	3	1	2	5	4	2	5	1	4
M10034X	1	1	5	5	3	2	5	4	5	3	1	3	5	3	2	3
M10042X	1	1	5	2	1	4	5	3	5	3	5	5	2	4	4	6
M10043Y	1	1	5	2	2	4	5	6	3	3	2	5	3	4	5	2
M10044Z	1	1	5	2	1	5	5	1	3	4	1	5	4	4	5	3
M10046B	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	6
M10054B	1	1	5	2	1	4	5	1	3	4	1	5	4	2	5	2
M10056D	1	1	5	2	1	4	5	6	3	4	3	3	4	5	4	3
M10057E	1	1	5	2	1	4	5	1	3	4	2	5	2	6	6	6
M10060Z	1	1	5	2	1	4	6	1	3	4	1	6	6	4	6	6
M10062B	1	1	5	2	1	4	5	2	3	4	1	5	4	4	3	2
M10063C	1	1	5	2	1	4	2	3	3	1	3	4	4	3	2	4
M10064D	1	1	5	2	1	4	5	6	3	5	1	5	6	4	6	6
M10068H	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10069J	1	1	5	2	1	4	5	5	3	4	6	6	6	6	6	6
M10072D	1	1	5	1	1	4	5	1	3	4	1	5	6	6	6	6
M10073E	1	1	5	2	1	4	5	5	4	3	5	5	5	5	5	3
M10074F	1	1	5	2	1	5	5	1	5	1	1	5	4	5	6	6
M10083G	1	1	5	2	1	3	1	1	3	4	1	5	2	4	5	5
M10088M	1	1	5	2	1	4	5	1	3	4	1	5	2	3	2	4
M10089N	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	6
M10091G	1	1	5	2	1	4	5	1	3	4	1	3	3	4	4	3
M10095L	1	1	5	2	2	3	5	2	4	1	2	2	5	1	5	3
M10096M	1	1	5	2	1	4	5	1	3	4	3	5	6	6	6	6
M10100Q	1	1	5	2	1	4	5	6	3	4	1	5	6	4	6	6
M10105V	1	1	5	2	1	3	5	1	4	3	5	5	4	6	6	6
M10106W	1	1	5	2	1	3	5	1	3	6	6	6	6	6	6	6
M10109Z	1	1	5	2	1	4	5	1	3	4	1	6	6	6	6	6
M10114W	1	1	5	1	1	3	5	5	3	3	3	2	6	6	6	6
M10115X	1	1	5	2	2	5	5	3	4	3	4	5	3	4	2	5
M10116Y	1	1	5	2	1	4	5	1	3	4	1	5	6	3	4	3
M10120U	1	1	5	2	1	4	5	2	3	4	1	2	3	1	5	6
M10122W	1	1	5	2	1	4	3	1	3	4	1	5	3	2	5	3
M10125Z	1	1	5	2	1	4	5	1	3	4	4	5	3	2	4	4
M10126A	1	1	5	2	1	4	5	1	3	6	1	5	6	6	6	6
M10130W	1	1	5	2	1	4	5	1	3	4	3	6	6	6	6	6
M10132Y	1	1	5	2	1	4	5	1	3	4	1	4	4	4	6	6
M10134A	1	1	5	2	1	4	5	1	3	4	3	5	4	4	5	3
M10139F	1	1	5	2	1	4	5	1	3	4	1	5	4	3	3	4
M10143B	1	1	5	2	1	4	5	1	5	4	6	6	6	6	6	6
M10144C	1	1	5	2	1	4	5	2	3	4	1	5	3	4	5	3
M10146E	1	1	5	2	1	4	5	1	3	4	1	5	4	3	2	3
M10149H	1	1	5	2	1	3	5	1	3	4	2	3	6	6	6	6
M10153D	1	1	5	2	1	4	5	1	3	5	1	2	4	3	5	1
M10154E	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10157H	1	1	5	2	1	4	5	4	3	4	1	6	6	6	6	6
M10161D	1	1	5	2	5	4	5	4	5	4	4	3	3	2	3	3
M10164G	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	2
M10172G	1	1	6	6	6	6	5	1	4	1	3	3	5	1	3	4
M10173H	1	1	5	2	1	4	5	1	4	3	5	5	5	3	2	4
M10175K	1	1	5	2	1	4	5	3	3	4	1	5	4	4	2	5
M10176L	1	1	5	2	1	4	5	1	3	4	6	5	3	6	6	6
M10177M	1	1	5	2	1	4	5	1	3	4	1	5	4	5	2	5
M10180G	1	1	5	2	1	4	5	1	3	4	1	5	4	4	6	6
M10181H	1	1	5	2	4	4	5	1	3	4	3	5	4	2	3	4
M10183K	1	1	5	2	1	5	5	2	3	4	3	5	3	2	4	2
M10185M	1	1	5	2	4	5	5	1	5	3	6	5	4	2	4	2
M10189R	1	1	5	2	1	4	5	4	3	2	3	3	4	1	4	3
M10191K	1	1	5	2	5	4	5	5	3	2	6	6	6	6	6	6
M10193M	1	1	5	2	1	4	5	1	3	4	1	5	3	4	2	2
M10195P	1	1	5	2	1	3	5	4	4	5	4	2	2	3	2	4
M10197R	1	1	5	2	1	4	5	2	3	5	4	4	4	1	6	6
M10205Y	1	1	5	2	1	1	5	1	3	4	1	5	6	6	6	6
M10206Z	1	1	5	2	1	4	5	3	2	5	1	5	2	3	4	3
M10210V	1	1	5	2	1	4	5	1	3	4	1	5	6	4	2	6
M10211W	1	1	5	2	1	4	5	2	3	4	1	6	6	6	6	6
M10213Y	1	1	5	2	1	5	4	1	4	2	3	5	2	1	4	3
M10215A	1	1	5	2	1	6	5	3	3	4	1	6	6	6	6	6
M10217C	1	1	5	2	1	4	6	1	3	6	1	6	6	6	6	6
M10220X	1	1	5	2	1	4	5	1	3	5	1	4	2	3	4	1
M10223A	1	1	5	2	1	4	5	3	5	1	3	5	2	5	1	5
M10224B	1	1	5	2	1	4	5	1	3	4	1	5	4	6	6	6
M10225C	2	1	5	2	1	4	4	6	6	1	3	4	5	4	5	5
M10226D	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	3
M10234D	1	1	5	2	1	4	5	1	3	4	5	5	4	4	2	5
M10239J	1	1	5	2	1	4	4	2	4	4	2	6	6	6	6	6
M10244F	1	1	5	2	1	4	5	6	3	4	1	5	6	6	6	6
M10247J	1	1	5	2	1	4	6	1	3	4	1	6	6	6	6	6
M10249L	1	1	5	2	1	4	5	1	3	3	1	5	4	4	2	5
M10250D	1	1	5	2	1	4	5	1	3	4	1	5	4	2	5	5
M10252F	1	1	5	2	1	4	5	1	4	4	3	4	2	3	5	4
M10254H	1	1	5	2	1	4	5	3	3	4	1	5	4	4	2	1
M10258M	1	1	5	2	1	2	5	2	2	5	1	5	4	6	6	6
M10262H	1	1	5	2	1	4	5	5	4	5	3	2	3	1	5	2
M10263J	1	1	5	2	1	4	5	1	3	4	2	5	4	4	3	4
M10264K	1	1	5	2	1	4	5	1	3	5	3	5	4	4	3	2
M10266M	1	1	5	2	1	4	5	1	3	4	1	5	6	6	6	6
M10273L	1	1	5	2	1	4	5	1	3	4	1	6	6	6	6	6
M10278R	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10279S	1	1	5	2	1	4	5	1	3	4	1	5	4	6	4	3
M10285Q	1	1	5	2	1	4	5	6	3	4	1	6	6	6	6	6
M10289U	1	1	5	2	1	4	5	1	3	4	1	5	4	4	3	2
M10296T	1	1	5	2	1	4	5	2	4	1	4	4	2	4	4	5
M10298V	1	1	5	2	1	4	5	1	3	5	1	2	5	3	2	3
