MCSID	GDHTYP00	GDHTYS00	GDRELP00	GDNATM00	GDMINH00	GDNATF00	GDFINH00	GDOTHS00	GDNOCM00	GDTOTS00	GDNSIB00	GDHSIB00	GDSSIB00	GDASIB00	GDFSIB00	GDGPAR00	GDOTHA00	GDNUMH00	GDTOTP00
M10002P	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M10007U	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M10015U	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M10016V	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M10018X	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M10021S	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M10022T	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M10025W	1	1	2	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M10034X	1	1	2	1	1	1	1	3	1	4	1	1	2	2	2	2	2	6	7
M10041W	-1	-1	-1	-1	-1	-1	-1	0	0	0	2	2	2	2	2	2	2	0	0
M10042X	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M10043Y	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M10044Z	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M10046B	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M10054B	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M10056D	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M10057E	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M10060Z	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M10062B	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M10063C	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M10064D	15	2	-1	1	1	-1	-1	2	1	3	1	2	2	1	2	2	2	4	5
M10068H	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M10069J	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M10071C	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	5	6
M10072D	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M10073E	2	1	1	1	1	-1	-1	1	1	2	2	1	2	2	2	2	2	4	5
M10074F	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M10079L	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M10082F	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M10083G	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M10088M	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
