MCSID	GPNUM00	GDEEA00	GDEWA00	GDESA00	GDENA00	GD06E00	GD11E00	GD08E00	GDRES00	GDREL00	GDAGI00	GDGAI00	GDSAM00	GDLST00
M10516L	1	-1	-1	-1	-1	1	1	1	1	7	47	4	1	1
M10516L	4	-1	-1	-1	-1	1	1	1	8	10	54	5	1	2
M28150P	1	-1	-1	-1	-1	1	1	1	1	7	43	4	1	1
M28150P	2	-1	-1	-1	-1	1	1	1	2	7	53	5	1	2
M26490Y	2	-1	-1	-1	-1	1	1	1	8	10	33	3	1	2
M26490Y	1	-1	-1	-1	-1	1	1	1	1	7	37	3	1	1
M13264X	1	-1	-1	-1	-1	1	1	1	1	7	48	4	1	1
M24364K	1	-1	-1	-1	-1	1	1	1	1	7	46	4	1	1
M24364K	4	-1	-1	-1	-1	1	1	1	8	10	42	4	1	2
M12242M	1	-1	-1	-1	-1	1	1	1	1	7	40	4	1	1
M12242M	2	-1	-1	-1	-1	1	1	1	2	7	43	4	1	2
M30742E	2	-1	-1	-1	-1	1	1	1	2	7	52	5	1	2
M30742E	1	-1	-1	-1	-1	1	1	1	1	7	49	4	1	1
M27447Z	2	1	-1	-1	-1	1	1	1	26	20	42	4	2	4
M27447Z	1	-1	-1	-1	-1	1	1	1	1	7	39	3	1	1
M19758Q	1	-1	-1	-1	-1	1	1	1	1	7	55	5	1	1
M19758Q	2	-1	-1	-1	-1	1	1	1	2	7	49	4	1	2
M27377C	1	-1	-1	-1	-1	6	11	8	1	7	51	5	1	1
M27377C	2	-1	-1	-1	-1	1	1	1	2	7	55	5	1	2
M18622V	2	-1	-1	-1	-1	1	1	1	1	7	51	5	1	1
M18622V	1	-1	-1	-1	-1	1	1	1	2	7	51	5	1	2
M35515R	1	-1	-1	-1	-1	1	1	1	1	7	50	5	1	1
M35515R	2	-1	-1	-1	-1	1	1	1	2	7	53	5	1	2
M15515F	1	-1	-1	-1	-1	1	1	1	1	7	50	5	1	1
M35003W	4	1	-1	-1	-1	1	1	1	8	10	42	4	-1	-1
M35003W	1	-1	-1	-1	-1	1	1	1	1	7	40	4	1	1
M28878Y	1	-1	-1	-1	-1	1	1	1	1	7	53	5	1	1
M28878Y	2	-1	-1	-1	-1	1	1	1	2	7	52	5	1	2
M28089B	1	-1	-1	-1	-1	1	1	1	1	7	49	4	1	1
M27882Q	2	-1	-1	-1	-1	1	1	1	2	7	36	3	1	2
M23336B	1	-1	-1	-1	-1	1	1	1	1	7	46	4	1	1
M31048T	1	-1	-1	-1	-1	1	1	1	1	7	36	3	1	1
M14890X	1	-1	-1	-1	-1	1	1	1	1	7	45	4	1	1
M14890X	2	-1	-1	-1	-1	1	1	1	2	7	55	5	1	2
M23788B	2	-1	-1	-1	-1	1	1	1	2	7	45	4	1	1
M21638E	1	-1	-1	-1	-1	1	1	1	1	7	43	4	1	1
M21638E	2	-1	-1	-1	-1	1	1	1	8	10	45	4	1	2
M22694S	5	-1	-1	-1	-1	1	1	1	8	10	44	4	1	2
M22694S	1	-1	-1	-1	-1	1	1	1	1	7	43	4	1	1
M15190E	1	-1	-1	-1	-1	1	1	1	1	7	39	3	1	1
M30117K	1	-1	-1	-1	-1	3	3	3	1	7	43	4	1	1
M30117K	2	-1	-1	-1	-1	1	1	1	2	7	47	4	1	2
M14906N	1	-1	-1	-1	-1	1	1	1	1	7	61	5	1	1
M15440D	1	-1	-1	-1	-1	1	1	1	1	7	47	4	1	1
M15440D	2	-1	-1	-1	-1	1	1	1	2	7	48	4	1	2
M28333U	1	-1	-1	-1	-1	4	4	4	1	7	38	3	1	1
M26251K	2	-1	-1	-1	-1	1	1	1	2	7	58	5	1	2
M26251K	1	-1	-1	-1	-1	1	1	1	1	7	49	4	1	1
M19751H	1	-1	-1	-1	-1	1	1	1	1	7	44	4	1	1
M11911X	2	-1	-1	-1	-1	1	1	1	2	7	40	4	1	2
M11911X	1	-1	-1	-1	-1	1	1	1	1	7	47	4	1	1
M15128Y	2	-1	-1	-1	-1	1	1	1	2	7	48	4	1	2
M15128Y	1	-1	-1	-1	-1	1	1	1	1	7	44	4	1	1
